scope,category,status,url,method,error,found_on
subdomain,broken,404,https://portal.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIyUG9ydGFsJTIwU1NPJTIwQk1LRyUyMC0lMjBTaW5nbGUlMjBTaWduLU9uJTIyJTJDJTIyeCUyMiUzQTAuMzM0MjU1NTc2OTI0OTYwMiUyQyUyMnclMjIlM0ExMjgwJTJDJTIyaCUyMiUzQTcyMCUyQyUyMmolMjIlM0E3MjAlMkMlMjJlJTIyJTNBMTI4MCUyQyUyMmwlMjIlM0ElMjJodHRwcyUzQSUyRiUyRnBvcnRhbC5ibWtnLmdvLmlkJTJGJTIyJTJDJTIyciUyMiUzQSUyMiUyMiUyQyUyMmslMjIlM0EyNCUyQyUyMm4lMjIlM0ElMjJVVEYtOCUyMiUyQyUyMm8lMjIlM0EtNDgwJTJDJTIycSUyMiUzQSU1QiU1RCU3RA==,HEAD,,https://portal.bmkg.go.id
subdomain,broken,404,https://ppid.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIyUFBJRCUyMEJNS0clMjIlMkMlMjJ4JTIyJTNBMC40MTc4NjE4ODcxNDIyNjEyNSUyQyUyMnclMjIlM0ExMjgwJTJDJTIyaCUyMiUzQTcyMCUyQyUyMmolMjIlM0E3MjAlMkMlMjJlJTIyJTNBMTI4MCUyQyUyMmwlMjIlM0ElMjJodHRwcyUzQSUyRiUyRnBwaWQuYm1rZy5nby5pZCUyRiUyMiUyQyUyMnIlMjIlM0ElMjIlMjIlMkMlMjJrJTIyJTNBMjQlMkMlMjJuJTIyJTNBJTIyVVRGLTglMjIlMkMlMjJvJTIyJTNBLTQ4MCUyQyUyMnElMjIlM0ElNUIlNUQlN0Q=,HEAD,,https://ppid.bmkg.go.id
subdomain,broken,404,https://ppsdm.bmkg.go.id/assets/plugins/sky-forms-pro/skyforms/custom/custom-sky-forms.css,HEAD,,https://ppsdm.bmkg.go.id
subdomain,broken,404,https://ppsdm.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIyUFBTRE0lMjBNS0clMjIlMkMlMjJ4JTIyJTNBMC41NTAwOTMwMDUxMjM0OTQlMkMlMjJ3JTIyJTNBMTI4MCUyQyUyMmglMjIlM0E3MjAlMkMlMjJqJTIyJTNBNzIwJTJDJTIyZSUyMiUzQTEyODAlMkMlMjJsJTIyJTNBJTIyaHR0cHMlM0ElMkYlMkZwcHNkbS5ibWtnLmdvLmlkJTJGJTIyJTJDJTIyciUyMiUzQSUyMiUyMiUyQyUyMmslMjIlM0EyNCUyQyUyMm4lMjIlM0ElMjJVVEYtOCUyMiUyQyUyMm8lMjIlM0EtNDgwJTJDJTIycSUyMiUzQSU1QiU1RCU3RA==,HEAD,,https://ppsdm.bmkg.go.id
subdomain,broken,404,https://ppsdm.bmkg.go.id/frontend/bangkomUpt,HEAD,,https://ppsdm.bmkg.go.id
subdomain,broken,404,https://ppsdm.bmkg.go.id/index.html,HEAD,,https://ppsdm.bmkg.go.id
subdomain,broken,404,https://ptsp.bmkg.go.id/-,HEAD,,https://ptsp.bmkg.go.id
subdomain,broken,404,https://ptsp.bmkg.go.id/cdn-cgi/zaraz/s.js?z=JTdCJTIyZXhlY3V0ZWQlMjIlM0ElNUIlNUQlMkMlMjJ0JTIyJTNBJTIyJTIwSG9tZSUyMC0lMjBQVFNQJTIwT25saW5lJTIwJTIwJTIwJTIwJTIwJTIwJTIwJTIwJTIyJTJDJTIyeCUyMiUzQTAuNzE5NDY4MTQ2OTM0NzI1NiUyQyUyMnclMjIlM0ExMjgwJTJDJTIyaCUyMiUzQTcyMCUyQyUyMmolMjIlM0E3MjAlMkMlMjJlJTIyJTNBMTI4MCUyQyUyMmwlMjIlM0ElMjJodHRwcyUzQSUyRiUyRnB0c3AuYm1rZy5nby5pZCUyRiUyMiUyQyUyMnIlMjIlM0ElMjIlMjIlMkMlMjJrJTIyJTNBMjQlMkMlMjJuJTIyJTNBJTIyVVRGLTglMjIlMkMlMjJvJTIyJTNBLTQ4MCUyQyUyMnElMjIlM0ElNUIlN0IlMjJtJTIyJTNBJTIyc2V0JTIyJTJDJTIyYSUyMiUzQSU1QiUyMjAlMjIlMkMlMjJjb25maWclMjIlMkMlN0IlMjJzY29wZSUyMiUzQSUyMnBhZ2UlMjIlN0QlNUQlN0QlMkMlN0IlMjJtJTIyJTNBJTIyc2V0JTIyJTJDJTIyYSUyMiUzQSU1QiUyMjElMjIlMkMlMjJVQS0xMjgzNjA2MTEtMTclMjIlMkMlN0IlMjJzY29wZSUyMiUzQSUyMnBhZ2UlMjIlN0QlNUQlN0QlNUQlN0Q=,HEAD,,https://ptsp.bmkg.go.id
subdomain,broken,404,https://ptsp.bmkg.go.id/resources/themes/css/responsive.css,HEAD,,https://ptsp.bmkg.go.id
subdomain,broken,,https://puslitbang.bmkg.go.id/,GET,"HTTPSConnectionPool(host='puslitbang.bmkg.go.id', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='puslitbang.bmkg.go.id', port=443): Failed to resolve 'puslitbang.bmkg.go.id' ([Errno 11001] getaddrinfo failed)""))",https://ppid.bmkg.go.id
