host,category,status,error,url_sample,link_count
web.meteo.bmkg.go.id,broken,,"HTTPConnectionPool(host='web.meteo.bmkg.go.id', port=80): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPConnection(host='web.meteo.bmkg.go.id', port=80): Failed to resolve 'web.meteo.bmkg.go.id' ([Errno 11001] getaddrinfo failed)""))",http://web.meteo.bmkg.go.id/,1
www.bmkg.go.id,broken,404,,https://www.bmkg.go.id/asset/img/logo-bmkg.png,183
signature.bmkg.go.id,suspicious,403,,https://signature.bmkg.go.id/dwt/,1
aeic.bmkg.go.id,ok,200,,http://aeic.bmkg.go.id/,1
beasiswa.bmkg.go.id,ok,200,,https://beasiswa.bmkg.go.id,1
cdn.bmkg.go.id,ok,200,,https://cdn.bmkg.go.id/Web/IMG_8087.jpg,1
cews.bmkg.go.id,ok,200,,https://cews.bmkg.go.id/dashboard-custom/monitoring-ENSO-embedwebklim/index.html,7
data.bmkg.go.id,ok,200,,https://data.bmkg.go.id/,1
ejournal-pusdiklat.bmkg.go.id,ok,200,,https://ejournal-pusdiklat.bmkg.go.id/index.php/climago,1
inasiam.bmkg.go.id,ok,200,,https://inasiam.bmkg.go.id/,2
inatews2.bmkg.go.id,ok,200,,http://inatews2.bmkg.go.id,1
inderaja.bmkg.go.id,ok,200,,https://inderaja.bmkg.go.id/Radar/Indonesia_ReflectivityQCComposite.png,1
inspektorat.bmkg.go.id,ok,200,,https://inspektorat.bmkg.go.id/,1
jam.bmkg.go.id,ok,200,,https://jam.bmkg.go.id,4
lms.bmkg.go.id,ok,200,,https://lms.bmkg.go.id/,1
perpustakaan.bmkg.go.id,ok,200,,https://perpustakaan.bmkg.go.id/,1
pusdiklat.bmkg.go.id,ok,200,,http://pusdiklat.bmkg.go.id/,1
repogempa.bmkg.go.id,ok,200,,http://repogempa.bmkg.go.id/,1
stamet-kotim.bmkg.go.id,ok,200,,https://stamet-kotim.bmkg.go.id/wp-content/uploads/2023/03/penakar-hujan-obs-1-768x1024.jpeg,1
static.bmkg.go.id,ok,200,,https://static.bmkg.go.id/20260507131745_rev/intensity_logo.jpg,1
visklim.bmkg.go.id,ok,200,,https://visklim.bmkg.go.id/views/SPIformatbaru/PrakiraanSPI3Bulanan?:embed_code_version=3&:embed=y&:loadOrderID=0&:display_spinner=no&:device=desktop&:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link,5
wbs.bmkg.go.id,ok,200,,https://wbs.bmkg.go.id,3
web-aviation.bmkg.go.id,ok,200,,https://web-aviation.bmkg.go.id/assets/chat/pop-up-chat-custom.css,42
